subtype,question,structured,correct_answer
direction_sense,"Suresh walks 6km west, then 10km west, then 10km east. How far is Suresh from the starting point?",6km west;10km west;10km east,6.0
coding_decoding,"If CUP is coded as GYT, how is BOX coded?",CUP->GYT;BOX->?,FSB
syllogism,Statement 1: No flowers are cars. Statement 2: Some cars are cats. Conclusion: Some cats are not flowers. Is the conclusion valid?,No flowers are cars|Some cars are cats|Some cats are not flowers,valid
blood_relation,Pooja is Kavya's son. Kavya is Priya's son. How is Pooja related to Priya?,Pooja|son|Kavya;Kavya|son|Priya,grandson
direction_sense,"Vikram walks 7km west, then 8km west. How far is Vikram from the starting point?",7km west;8km west,15.0
coding_decoding,"If SUN is coded as TVO, how is BOX coded?",SUN->TVO;BOX->?,CPY
syllogism,Statement 1: No flowers are plants. Statement 2: Some plants are birds. Conclusion: Some birds are not flowers. Is the conclusion valid?,No flowers are plants|Some plants are birds|Some birds are not flowers,valid
blood_relation,Priya is Amit's daughter. Amit is Suresh's daughter. How is Priya related to Suresh?,Priya|daughter|Amit;Amit|daughter|Suresh,granddaughter
direction_sense,"Vikram walks 4km north, then 8km east. How far is Vikram from the starting point?",4km north;8km east,8.94
coding_decoding,"If CUP is coded as EWR, how is BOX coded?",CUP->EWR;BOX->?,DQZ
syllogism,Statement 1: Some cars are dogs. Statement 2: All dogs are mammals. Conclusion: Some cars are mammals. Is the conclusion valid?,Some cars are dogs|All dogs are mammals|Some cars are mammals,valid
blood_relation,Sneha is Riya's son. Riya is Kavya's daughter. How is Sneha related to Kavya?,Sneha|son|Riya;Riya|daughter|Kavya,grandson
direction_sense,"Riya walks 2km east, then 6km east, then 8km north. How far is Riya from the starting point?",2km east;6km east;8km north,11.31
coding_decoding,"If MAP is coded as OCR, how is LOG coded?",MAP->OCR;LOG->?,NQI
syllogism,Statement 1: All dogs are pets. Statement 2: No pets are animals. Conclusion: No dogs are animals. Is the conclusion valid?,All dogs are pets|No pets are animals|No dogs are animals,valid
blood_relation,Vikram is Nikhil's father. Nikhil is Rohit's father. How is Vikram related to Rohit?,Vikram|father|Nikhil;Nikhil|father|Rohit,grandfather
direction_sense,"Arjun walks 10km south, then 7km east, then 4km north. How far is Arjun from the starting point?",10km south;7km east;4km north,9.22
coding_decoding,"If SUN is coded as TVO, how is KEY coded?",SUN->TVO;KEY->?,LFZ
syllogism,Statement 1: Some fruits are plants. Statement 2: All plants are foods. Conclusion: Some fruits are foods. Is the conclusion valid?,Some fruits are plants|All plants are foods|Some fruits are foods,valid
blood_relation,Nikhil is Karan's father. Karan is Riya's father. How is Nikhil related to Riya?,Nikhil|father|Karan;Karan|father|Riya,grandfather
direction_sense,"Priya walks 2km east, then 2km west. How far is Priya from the starting point?",2km east;2km west,0.0
coding_decoding,"If MAP is coded as NBQ, how is RUN coded?",MAP->NBQ;RUN->?,SVO
syllogism,Statement 1: All birds are plants. Statement 2: No plants are fruits. Conclusion: No birds are fruits. Is the conclusion valid?,All birds are plants|No plants are fruits|No birds are fruits,valid
blood_relation,Priya is Arjun's daughter. Arjun is Nikhil's son. How is Priya related to Nikhil?,Priya|daughter|Arjun;Arjun|son|Nikhil,granddaughter
direction_sense,"Manoj walks 6km east, then 9km east. How far is Manoj from the starting point?",6km east;9km east,15.0
coding_decoding,"If FAN is coded as JER, how is COW coded?",FAN->JER;COW->?,GSA
syllogism,Statement 1: Some fruits are mammals. Statement 2: Some mammals are cats. Conclusion: Some fruits are cats. Is the conclusion valid?,Some fruits are mammals|Some mammals are cats|Some fruits are cats,invalid
blood_relation,Amit is Nikhil's father. Nikhil is Sneha's father. How is Amit related to Sneha?,Amit|father|Nikhil;Nikhil|father|Sneha,grandfather
direction_sense,"Meera walks 9km west, then 3km north. How far is Meera from the starting point?",9km west;3km north,9.49
coding_decoding,"If MAP is coded as NBQ, how is JAM coded?",MAP->NBQ;JAM->?,KBN
syllogism,Statement 1: Some animals are fruits. Statement 2: Some fruits are foods. Conclusion: Some animals are foods. Is the conclusion valid?,Some animals are fruits|Some fruits are foods|Some animals are foods,invalid
blood_relation,Nikhil is Amit's mother. Amit is Pooja's father. How is Nikhil related to Pooja?,Nikhil|mother|Amit;Amit|father|Pooja,grandmother
direction_sense,"Arjun walks 7km west, then 3km east, then 8km north. How far is Arjun from the starting point?",7km west;3km east;8km north,8.94
coding_decoding,"If DOG is coded as EPH, how is COW coded?",DOG->EPH;COW->?,DPX
syllogism,Statement 1: All pets are dogs. Statement 2: No dogs are cars. Conclusion: No pets are cars. Is the conclusion valid?,All pets are dogs|No dogs are cars|No pets are cars,valid
blood_relation,Suresh is Manoj's son. Manoj is Priya's daughter. How is Suresh related to Priya?,Suresh|son|Manoj;Manoj|daughter|Priya,grandson
direction_sense,"Karan walks 10km north, then 6km south, then 3km west. How far is Karan from the starting point?",10km north;6km south;3km west,5.0
coding_decoding,"If DOG is coded as ITL, how is JAM coded?",DOG->ITL;JAM->?,OFR
syllogism,Statement 1: All cars are cats. Statement 2: No cats are animals. Conclusion: No cars are animals. Is the conclusion valid?,All cars are cats|No cats are animals|No cars are animals,valid
blood_relation,Rohit is Kavya's father. Kavya is Meera's mother. How is Rohit related to Meera?,Rohit|father|Kavya;Kavya|mother|Meera,grandfather
direction_sense,"Manoj walks 5km north, then 5km north, then 4km east. How far is Manoj from the starting point?",5km north;5km north;4km east,10.77
coding_decoding,"If BAT is coded as EDW, how is COW coded?",BAT->EDW;COW->?,FRZ
syllogism,Statement 1: Some mammals are pets. Statement 2: All pets are foods. Conclusion: Some mammals are foods. Is the conclusion valid?,Some mammals are pets|All pets are foods|Some mammals are foods,valid
blood_relation,Manoj is Karan's mother. Karan is Suresh's father. How is Manoj related to Suresh?,Manoj|mother|Karan;Karan|father|Suresh,grandmother
direction_sense,"Meera walks 10km west, then 8km west. How far is Meera from the starting point?",10km west;8km west,18.0
coding_decoding,"If MAP is coded as RFU, how is COW coded?",MAP->RFU;COW->?,HTB
syllogism,Statement 1: Some animals are pets. Statement 2: Some pets are vehicles. Conclusion: Some animals are vehicles. Is the conclusion valid?,Some animals are pets|Some pets are vehicles|Some animals are vehicles,invalid
blood_relation,Nikhil is Karan's daughter. Karan is Divya's son. How is Nikhil related to Divya?,Nikhil|daughter|Karan;Karan|son|Divya,granddaughter
direction_sense,"Manoj walks 2km south, then 8km west. How far is Manoj from the starting point?",2km south;8km west,8.25
coding_decoding,"If CUP is coded as FXS, how is BOX coded?",CUP->FXS;BOX->?,ERA
syllogism,Statement 1: Some animals are plants. Statement 2: Some plants are flowers. Conclusion: Some animals are flowers. Is the conclusion valid?,Some animals are plants|Some plants are flowers|Some animals are flowers,invalid
blood_relation,Anjali is Nikhil's son. Nikhil is Meera's daughter. How is Anjali related to Meera?,Anjali|son|Nikhil;Nikhil|daughter|Meera,grandson
direction_sense,"Vikram walks 2km north, then 2km east, then 5km north. How far is Vikram from the starting point?",2km north;2km east;5km north,7.28
coding_decoding,"If CUP is coded as DVQ, how is BAT coded?",CUP->DVQ;BAT->?,CBU
syllogism,Statement 1: Some foods are animals. Statement 2: All animals are pets. Conclusion: Some foods are pets. Is the conclusion valid?,Some foods are animals|All animals are pets|Some foods are pets,valid
blood_relation,Manoj is Arjun's father. Arjun is Rohit's mother. How is Manoj related to Rohit?,Manoj|father|Arjun;Arjun|mother|Rohit,grandfather
direction_sense,"Pooja walks 6km north, then 9km north, then 6km south. How far is Pooja from the starting point?",6km north;9km north;6km south,9.0
coding_decoding,"If SUN is coded as WYR, how is LOG coded?",SUN->WYR;LOG->?,PSK
syllogism,Statement 1: Some cars are birds. Statement 2: Some birds are cats. Conclusion: Some cars are cats. Is the conclusion valid?,Some cars are birds|Some birds are cats|Some cars are cats,invalid
blood_relation,Vikram is Manoj's father. Manoj is Divya's mother. How is Vikram related to Divya?,Vikram|father|Manoj;Manoj|mother|Divya,grandfather
direction_sense,"Divya walks 7km west, then 4km west, then 8km east. How far is Divya from the starting point?",7km west;4km west;8km east,3.0
coding_decoding,"If CAT is coded as GEX, how is BAT coded?",CAT->GEX;BAT->?,FEX
syllogism,Statement 1: All fruits are cars. Statement 2: All cars are cats. Conclusion: All fruits are cats. Is the conclusion valid?,All fruits are cars|All cars are cats|All fruits are cats,valid
blood_relation,Suresh is Karan's son. Karan is Meera's son. How is Suresh related to Meera?,Suresh|son|Karan;Karan|son|Meera,grandson
direction_sense,"Sneha walks 5km north, then 8km west. How far is Sneha from the starting point?",5km north;8km west,9.43
coding_decoding,"If CAT is coded as ECV, how is TOP coded?",CAT->ECV;TOP->?,VQR
syllogism,Statement 1: No dogs are plants. Statement 2: Some plants are cats. Conclusion: Some cats are not dogs. Is the conclusion valid?,No dogs are plants|Some plants are cats|Some cats are not dogs,valid
blood_relation,Amit is Rohit's mother. Rohit is Riya's father. How is Amit related to Riya?,Amit|mother|Rohit;Rohit|father|Riya,grandmother
direction_sense,"Arjun walks 6km north, then 2km north, then 6km south. How far is Arjun from the starting point?",6km north;2km north;6km south,2.0
coding_decoding,"If CAT is coded as FDW, how is TOP coded?",CAT->FDW;TOP->?,WRS
syllogism,Statement 1: All vehicles are mammals. Statement 2: No mammals are cats. Conclusion: No vehicles are cats. Is the conclusion valid?,All vehicles are mammals|No mammals are cats|No vehicles are cats,valid
blood_relation,Kavya is Rohit's son. Rohit is Nikhil's daughter. How is Kavya related to Nikhil?,Kavya|son|Rohit;Rohit|daughter|Nikhil,grandson
direction_sense,"Anjali walks 3km east, then 5km east. How far is Anjali from the starting point?",3km east;5km east,8.0
coding_decoding,"If MAP is coded as RFU, how is RUN coded?",MAP->RFU;RUN->?,WZS
syllogism,Statement 1: All pets are cats. Statement 2: No cats are animals. Conclusion: No pets are animals. Is the conclusion valid?,All pets are cats|No cats are animals|No pets are animals,valid
blood_relation,Sneha is Riya's son. Riya is Arjun's daughter. How is Sneha related to Arjun?,Sneha|son|Riya;Riya|daughter|Arjun,grandson
direction_sense,"Sneha walks 7km west, then 5km south, then 7km east. How far is Sneha from the starting point?",7km west;5km south;7km east,5.0
coding_decoding,"If CUP is coded as FXS, how is KEY coded?",CUP->FXS;KEY->?,NHB
syllogism,Statement 1: All foods are vehicles. Statement 2: No vehicles are mammals. Conclusion: No foods are mammals. Is the conclusion valid?,All foods are vehicles|No vehicles are mammals|No foods are mammals,valid
blood_relation,Priya is Karan's father. Karan is Arjun's father. How is Priya related to Arjun?,Priya|father|Karan;Karan|father|Arjun,grandfather
direction_sense,"Vikram walks 6km east, then 7km east, then 5km south. How far is Vikram from the starting point?",6km east;7km east;5km south,13.93
coding_decoding,"If BAT is coded as DCV, how is JAM coded?",BAT->DCV;JAM->?,LCO
syllogism,Statement 1: All pets are mammals. Statement 2: No mammals are cars. Conclusion: No pets are cars. Is the conclusion valid?,All pets are mammals|No mammals are cars|No pets are cars,valid
blood_relation,Karan is Nikhil's father. Nikhil is Divya's father. How is Karan related to Divya?,Karan|father|Nikhil;Nikhil|father|Divya,grandfather
direction_sense,"Riya walks 7km north, then 6km east, then 6km east. How far is Riya from the starting point?",7km north;6km east;6km east,13.89
coding_decoding,"If DOG is coded as HSK, how is RUN coded?",DOG->HSK;RUN->?,VYR
syllogism,Statement 1: All flowers are foods. Statement 2: All foods are fruits. Conclusion: All flowers are fruits. Is the conclusion valid?,All flowers are foods|All foods are fruits|All flowers are fruits,valid
blood_relation,Anjali is Pooja's father. Pooja is Nikhil's father. How is Anjali related to Nikhil?,Anjali|father|Pooja;Pooja|father|Nikhil,grandfather
direction_sense,"Kavya walks 7km east, then 8km west. How far is Kavya from the starting point?",7km east;8km west,1.0
coding_decoding,"If CAT is coded as FDW, how is COW coded?",CAT->FDW;COW->?,FRZ
syllogism,Statement 1: All cars are plants. Statement 2: All plants are vehicles. Conclusion: All cars are vehicles. Is the conclusion valid?,All cars are plants|All plants are vehicles|All cars are vehicles,valid
blood_relation,Rohit is Manoj's mother. Manoj is Meera's mother. How is Rohit related to Meera?,Rohit|mother|Manoj;Manoj|mother|Meera,grandmother
direction_sense,"Kavya walks 5km east, then 4km west, then 6km north. How far is Kavya from the starting point?",5km east;4km west;6km north,6.08
coding_decoding,"If SUN is coded as TVO, how is TOP coded?",SUN->TVO;TOP->?,UPQ
syllogism,Statement 1: No flowers are vehicles. Statement 2: Some vehicles are plants. Conclusion: Some plants are not flowers. Is the conclusion valid?,No flowers are vehicles|Some vehicles are plants|Some plants are not flowers,valid
blood_relation,Divya is Amit's daughter. Amit is Vikram's daughter. How is Divya related to Vikram?,Divya|daughter|Amit;Amit|daughter|Vikram,granddaughter
direction_sense,"Priya walks 4km north, then 2km east, then 7km north. How far is Priya from the starting point?",4km north;2km east;7km north,11.18
coding_decoding,"If BAT is coded as GFY, how is BAT coded?",BAT->GFY;BAT->?,GFY
syllogism,Statement 1: Some foods are vehicles. Statement 2: Some vehicles are mammals. Conclusion: Some foods are mammals. Is the conclusion valid?,Some foods are vehicles|Some vehicles are mammals|Some foods are mammals,invalid
blood_relation,Arjun is Amit's daughter. Amit is Rohit's daughter. How is Arjun related to Rohit?,Arjun|daughter|Amit;Amit|daughter|Rohit,granddaughter
direction_sense,"Priya walks 6km north, then 3km west. How far is Priya from the starting point?",6km north;3km west,6.71
coding_decoding,"If PEN is coded as QFO, how is BAT coded?",PEN->QFO;BAT->?,CBU
syllogism,Statement 1: No mammals are animals. Statement 2: Some animals are fruits. Conclusion: Some fruits are not mammals. Is the conclusion valid?,No mammals are animals|Some animals are fruits|Some fruits are not mammals,valid
